+---------------+-----------+----------+--------------+------------------+-------------------------------+
|    Dataset    | MobileNet | DenseNet | EfficientNet | ganDiscriminator | PugeaultASLA_GanDiscriminator |
+---------------+-----------+----------+--------------+------------------+-------------------------------+
|     lsa16     |    0.98   |   0.98   |     0.97     |       0.88       |              0.96             |
|               |           |          |              |                  |                               |
|      rwth     |    0.98   |   0.97   |     0.99     |       0.62       |              0.61             |
|               |           |          |              |                  |                               |
|     Irish     |    1.0    |   1.0    |     1.0      |       0.93       |              0.92             |
|               |           |          |              |                  |                               |
|     Ciarp     |    0.98   |   1.0    |     0.99     |       1.00       |              1.00             |
|               |           |          |              |                  |                               |
| PugeaultASL_A |    0.99   |   1.0    |     0.99     |       0.97       |              0.97             |
|               |           |          |              |                  |                               |
| PugeaultASL_B |    0.98   |   0.98   |     0.98     |       0.81       |              0.81             |
|               |           |          |              |                  |                               |
|    indianA    |    0.83   |   0.74   |     0.91     |       0.32       |              0.31             |
|               |           |          |              |                  |                               |
|    indianB    |    0.95   |   0.89   |     0.89     |       0.44       |              0.45             |
|               |           |          |              |                  |                               |
|      Nus1     |    0.96   |   1.0    |     1.0      |       0.43       |              0.70             |
|               |           |          |              |                  |                               |
|      Nus2     |    1.0    |   0.98   |     0.99     |       0.57       |              0.56             |
|               |           |          |              |                  |                               |
|      jsl      |    0.97   |   0.98   |     0.98     |       0.83       |              0.95             |
|               |           |          |              |                  |                               |
|      psl      |    1.0    |   0.99   |     0.99     |       0.19       |              0.42             |
|               |           |          |              |                  |                               |
+---------------+-----------+----------+--------------+------------------+-------------------------------+
